"","ASV2","ASV4","ASV6","ASV8","ASV18","ASV28","ASV34","ASV41","ASV46","ASV49","ASV53","ASV56","ASV60","ASV61","ASV64","ASV73","ASV75","ASV80","ASV88","ASV99","ASV108","ASV110","ASV111","ASV112","ASV125","ASV127","ASV130","ASV131","ASV140","ASV147","ASV152","ASV156","ASV159","ASV160","ASV162","ASV177","ASV180","ASV193","ASV201","ASV203","ASV222","ASV229","ASV231","ASV237","ASV243","ASV245","ASV247","ASV250","ASV253","ASV254","ASV271","ASV286","ASV287","ASV300","ASV302","ASV304","ASV311","ASV320","ASV324","ASV327","ASV343","ASV357","ASV360","ASV363","ASV364","ASV365","ASV369","ASV382","ASV423","ASV426","ASV437","ASV467","ASV468","ASV480","ASV483","ASV491","ASV494","ASV518","ASV528","ASV550","ASV553","ASV562","ASV564","ASV575","ASV581","ASV589","ASV605","ASV607","ASV609","ASV616","ASV630","ASV639","ASV642","ASV645","ASV662","ASV673","ASV682","ASV685","ASV689","ASV692","ASV693","ASV720","ASV725","ASV732","ASV750","ASV756","ASV760","ASV779","ASV785","ASV792","ASV794","ASV800","ASV801","ASV804","ASV840","ASV843","ASV863","ASV864","ASV867","ASV869","ASV877","ASV898","ASV915","ASV924","ASV942","ASV962","ASV965","ASV1008","ASV1039","ASV1041","ASV1046","ASV1050","ASV1075","ASV1088","ASV1107","ASV1141","ASV1144","ASV1155","ASV1162","ASV1168","ASV1192","ASV1196","ASV1219","ASV1236","ASV1249","ASV1263","ASV1294","ASV1344","ASV1361","ASV1373","ASV1374","ASV1381","ASV1393","ASV1417","ASV1419","ASV1422","ASV1433","ASV1439","ASV1445","ASV1467","ASV1489","ASV1492","ASV1501","ASV1506","ASV1513","ASV1538","ASV1557","ASV1566","ASV1570","ASV1592"
"asuCPW2",0,0,17,88,0,0,0,0,55,0,0,0,0,0,0,0,0,10,0,20,0,0,0,0,0,0,0,0,0,35,0,9,0,0,159,0,0,0,0,0,0,123,0,0,22,0,25,0,12,0,0,0,61,0,15,0,0,0,0,49,2,264,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asuCPW23",0,14,8,614,0,1,0,0,24,0,0,0,2,0,0,0,0,0,0,67,0,47,0,6,0,0,0,0,0,1,0,54,0,6,19,0,2,0,0,1,0,14,0,0,7,0,0,0,0,2,0,0,20,0,0,0,0,0,0,58,0,23,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asuCPW30",0,0,14,375,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,15,0,17,0,0,30,0,0,0,0,0,0,30,0,0,10,0,0,0,0,0,0,0,42,0,0,0,0,0,0,226,8,48,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asuCPW5",0,0,0,90,0,13,0,24,142,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,6,0,5,0,0,288,0,0,0,0,0,0,96,0,0,11,5,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asuCPWedge",0,0,0,35,0,11,0,0,378,0,0,0,12,30,0,0,0,2,0,75,0,0,0,0,0,0,0,0,0,12,0,23,0,0,76,0,0,0,0,0,0,45,0,0,4,0,0,0,4,0,0,0,13,0,3,0,0,0,0,125,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BryzCISa",0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,48,0,370,0,0,33,0,0,0,0,0,0,38,15,9,0,0,0,0,0,0,0,15,36,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BryzCISb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BryzCISe",0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SedCIA17",0,863,0,0,0,0,0,87,0,0,0,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SedCIA18",0,775,0,0,0,0,0,9,0,0,18,3,1,24,0,0,0,0,0,2,5,0,0,0,0,13,0,0,0,0,5,4,0,24,0,0,0,0,0,0,0,0,12,0,0,0,37,0,10,0,0,2,0,0,0,8,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SedCIC17",0,655,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
