Region,Site,Lat (decimal degrees),Long (decimal degrees),monitoring_site,notes,,,,
Choked Pass,Wolf,51.668,128.119,no,,,,,
Choked Pass,Inner Tristan,51.675,-128.119,no,,,,,
Choked Pass,South Pigu,51.676,-128.122,yes,,,,,
Choked Pass,Inner Sandspit,51.678,-128.115,yes,,,,,
Kwakshua,Pruth North,51.65951,-128.116012,no,,,,,
Kwakshua,Pruth South,51.645766,-128.118668,no,,,,,
Kwakshua,Keith's Clam Garden,51.646066,-128.095012,no,,,,,
Triquet,Triquet Bay,51.80869,-128.235858,yes,,,,,
Triquet,Triquet North,51.808875,-128.247457,yes,,,,,
,Spitfire,51.860744,-128.200541,no,,,,,
Goose,Goose Southwest,51.922786,-128.464532,yes,,,,,
Goose ,Goose Southeast,51.926522,-128.45317,yes,,,,,
Goose,Goose North,52.001869,-128.425817,no,,,,,
McMullin,McMullin North,52.061781,-128.412394,yes,,,,,
McMullin,McMullin South,52.053018,-128.403636,yes,,,,,
,North Supersition ,51.893907,-128.235052,no,,,,,
