chkd_s_6,chkd_n_0,chkd_nn_,chkd_nn_.1,chkd___3,gs_sth_s_4,gs_sth_s_6,gs_sth_s_5,gs_sth_s_3,gs_sth_s_1,gs_sth_s_2,gs_sth_w_1,gs_sth_w_3,gs_sth_w_4,gs_sth_w_2,gs_sth_w_6,gs_sth_w_5,mcmllns_n_1,mcmllns_n_2,mcmllns_n_3,mcmllns_n_4,mcmllns_n_5,mcmllns_n_6,mcmllns_s_1,mcmllns_s_2,mcmllns_s_3,mcmllns_s_4,mcmllns_s_5,mcmllns_s_6,trqt_n_6,trqt_n_5,trqt_n_4,trqt_n_2,trqt_n_3,trqt_n_1,trqt_s_6,trqt_s_5,trqt_s_4,trqt_s_3
0,0.804,0.368,0.969,0.689,0.905,0.928,0.976,0.946,0.971,0.986,0.976,0.932,0.989,0.994,0.885,0.993,0.997,1,1,0.999,0.987,0.999,0.989,0.979,0.994,0.997,0.997,0.997,0.99,0.998,0.994,0.999,0.946,0.991,0.884,0.995,0.924,0.874
0.804,0,0.879,0.881,0.629,0.958,0.835,0.768,0.868,0.831,0.788,0.971,0.909,0.975,0.967,0.937,0.967,0.959,0.984,0.963,0.981,0.961,0.983,0.955,0.876,0.954,0.955,0.921,0.943,0.989,0.901,0.931,0.969,0.979,0.898,0.844,0.911,0.889,0.848
0.368,0.879,0,0.888,0.807,0.891,0.892,0.958,0.915,0.931,0.977,0.969,0.931,0.976,0.877,0.841,0.917,0.901,0.907,0.985,0.925,0.954,0.997,0.892,0.944,0.904,0.958,0.98,0.977,0.999,0.991,0.93,0.9,0.853,0.998,0.906,0.896,0.942,0.942
0.969,0.881,0.888,0,0.952,0.748,0.662,0.776,0.85,0.834,0.801,0.889,0.784,0.897,0.802,0.87,0.804,0.656,0.754,0.895,0.826,0.913,0.941,0.822,0.867,0.608,0.875,0.911,0.913,0.899,0.871,0.819,0.757,0.799,0.866,0.808,0.729,0.835,0.852
0.689,0.629,0.807,0.952,0,0.96,0.918,0.937,0.922,0.926,0.959,0.954,0.919,0.963,0.943,0.926,0.942,0.981,0.975,0.985,0.977,0.964,0.984,0.97,0.924,0.979,0.981,0.97,0.968,0.992,0.968,0.974,0.962,0.981,0.981,0.81,0.967,0.856,0.833
0.905,0.958,0.891,0.748,0.96,0,0.442,0.449,0.546,0.568,0.55,0.519,0.426,0.564,0.661,0.56,0.483,0.749,0.777,0.77,0.694,0.776,0.792,0.756,0.741,0.726,0.758,0.789,0.791,0.731,0.699,0.714,0.59,0.695,0.69,0.511,0.525,0.599,0.499
0.928,0.835,0.892,0.662,0.918,0.442,0,0.386,0.545,0.543,0.5,0.626,0.436,0.619,0.676,0.725,0.558,0.786,0.836,0.798,0.749,0.837,0.847,0.797,0.751,0.748,0.789,0.796,0.813,0.786,0.66,0.735,0.636,0.785,0.663,0.542,0.47,0.582,0.645
0.976,0.768,0.958,0.776,0.937,0.449,0.386,0,0.375,0.394,0.214,0.375,0.333,0.403,0.649,0.724,0.437,0.632,0.681,0.635,0.587,0.686,0.679,0.642,0.58,0.655,0.634,0.63,0.651,0.616,0.47,0.582,0.451,0.646,0.481,0.501,0.495,0.638,0.62
0.946,0.868,0.915,0.85,0.922,0.546,0.545,0.375,0,0.326,0.375,0.361,0.44,0.478,0.73,0.755,0.532,0.517,0.569,0.521,0.452,0.572,0.57,0.527,0.498,0.658,0.522,0.526,0.543,0.511,0.4,0.465,0.428,0.534,0.388,0.637,0.573,0.679,0.697
0.971,0.831,0.931,0.834,0.926,0.568,0.543,0.394,0.326,0,0.349,0.427,0.5,0.54,0.797,0.773,0.622,0.488,0.535,0.49,0.443,0.541,0.538,0.493,0.417,0.651,0.492,0.484,0.508,0.483,0.362,0.436,0.515,0.504,0.381,0.687,0.666,0.746,0.768
0.986,0.788,0.977,0.801,0.959,0.55,0.5,0.214,0.375,0.349,0,0.454,0.46,0.541,0.776,0.751,0.589,0.586,0.638,0.588,0.53,0.639,0.632,0.581,0.532,0.654,0.587,0.583,0.6,0.565,0.42,0.537,0.513,0.601,0.458,0.665,0.625,0.742,0.761
0.976,0.971,0.969,0.889,0.954,0.519,0.626,0.375,0.361,0.427,0.454,0,0.364,0.293,0.525,0.701,0.364,0.5,0.531,0.502,0.448,0.535,0.526,0.506,0.471,0.698,0.507,0.514,0.525,0.457,0.409,0.475,0.296,0.491,0.418,0.432,0.5,0.671,0.598
0.932,0.909,0.931,0.784,0.919,0.426,0.436,0.333,0.44,0.5,0.46,0.364,0,0.417,0.612,0.613,0.414,0.673,0.715,0.681,0.629,0.723,0.714,0.678,0.616,0.669,0.678,0.685,0.687,0.651,0.577,0.648,0.472,0.666,0.591,0.479,0.532,0.618,0.59
0.989,0.975,0.976,0.897,0.963,0.564,0.619,0.403,0.478,0.54,0.541,0.293,0.417,0,0.556,0.773,0.35,0.654,0.687,0.664,0.602,0.691,0.68,0.66,0.618,0.702,0.663,0.665,0.674,0.609,0.583,0.633,0.385,0.657,0.564,0.501,0.48,0.674,0.663
0.994,0.967,0.877,0.802,0.943,0.661,0.676,0.649,0.73,0.797,0.776,0.525,0.612,0.556,0,0.646,0.304,0.827,0.859,0.907,0.794,0.907,0.938,0.844,0.865,0.81,0.894,0.918,0.925,0.868,0.822,0.83,0.385,0.824,0.828,0.493,0.387,0.697,0.622
0.885,0.937,0.841,0.87,0.926,0.56,0.725,0.724,0.755,0.773,0.751,0.701,0.613,0.773,0.646,0,0.693,0.818,0.846,0.853,0.817,0.855,0.88,0.826,0.818,0.817,0.836,0.864,0.867,0.87,0.821,0.812,0.782,0.768,0.862,0.658,0.749,0.775,0.645
0.993,0.967,0.917,0.804,0.942,0.483,0.558,0.437,0.532,0.622,0.589,0.364,0.414,0.35,0.304,0.693,0,0.691,0.727,0.738,0.643,0.742,0.772,0.704,0.699,0.674,0.723,0.75,0.757,0.701,0.653,0.667,0.261,0.692,0.659,0.416,0.262,0.6,0.619
0.997,0.959,0.901,0.656,0.981,0.749,0.786,0.632,0.517,0.488,0.586,0.5,0.673,0.654,0.827,0.818,0.691,0,0.121,0.255,0.209,0.278,0.305,0.181,0.264,0.445,0.235,0.269,0.28,0.295,0.26,0.2,0.453,0.179,0.269,0.791,0.705,0.836,0.884
1,0.984,0.907,0.754,0.975,0.777,0.836,0.681,0.569,0.535,0.638,0.531,0.715,0.687,0.859,0.846,0.727,0.121,0,0.2,0.136,0.174,0.209,0.114,0.281,0.551,0.178,0.207,0.2,0.224,0.309,0.152,0.492,0.113,0.274,0.818,0.754,0.862,0.912
1,0.963,0.985,0.895,0.985,0.77,0.798,0.635,0.521,0.49,0.588,0.502,0.681,0.664,0.907,0.853,0.738,0.255,0.2,0,0.174,0.091,0.06,0.149,0.252,0.687,0.037,0.099,0.062,0.081,0.259,0.139,0.577,0.164,0.223,0.834,0.788,0.843,0.892
0.999,0.981,0.925,0.826,0.977,0.694,0.749,0.587,0.452,0.443,0.53,0.448,0.629,0.602,0.794,0.817,0.643,0.209,0.136,0.174,0,0.168,0.198,0.125,0.233,0.62,0.153,0.188,0.189,0.141,0.221,0.097,0.469,0.117,0.178,0.731,0.691,0.78,0.824
0.987,0.961,0.954,0.913,0.964,0.776,0.837,0.686,0.572,0.541,0.639,0.535,0.723,0.691,0.907,0.855,0.742,0.278,0.174,0.091,0.168,0,0.075,0.141,0.263,0.703,0.064,0.123,0.071,0.107,0.315,0.151,0.582,0.174,0.278,0.784,0.802,0.824,0.872
